,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
1,open,83.0,220.0,36.0,macd,0.8608712485197201,0.8554875242982047,6.0,33.0,35.0,4H,0.14335206666912023
84,high,151.0,391.0,3.0,macd,0.24497341871399175,0.23280827371418045,6.0,191.0,2.0,4H,0.1337998278463356
0,high,62.0,400.0,44.0,macdh,0.5495012349219763,0.5331159907060045,4.0,321.0,100.0,4H,0.10542658147452733
62,OHLC/4,3.0,545.0,46.0,macdh,-0.16926946148802155,-0.2338488636333367,2.0,27.0,91.0,4H,-0.06192818838764339
86,HL/2,75.0,550.0,25.0,macds,-0.4029098575593403,-0.23054560013992437,6.0,33.0,66.0,4H,-0.07189106337663459
57,close,87.0,143.0,21.0,macd,-1.0,-0.9999999999999966,6.0,442.0,52.0,4H,-0.12599210498948718
42,high,35.0,87.0,38.0,macds,-0.9999999999999916,-1.0000000000000067,5.0,305.0,321.0,4H,-0.12599210498948726
67,HLCC/4,29.0,92.0,45.0,macds,-0.999999999999992,-1.0000000000000073,3.0,405.0,460.0,4H,-0.1259921049894873
43,OHLC/4,40.0,469.0,3.0,macdh,-0.9999999999999999,-1.0,3.0,395.0,375.0,4H,-0.12599210498948732
45,close,103.0,129.0,12.0,macdh,-1.0,-1.0,4.0,149.0,323.0,4H,-0.12599210498948732
23,HLCC/4,114.0,113.0,9.0,macds,-1.0,-0.9999999999999998,6.0,347.0,159.0,4H,-0.12599210498948732
61,HL/2,16.0,193.0,37.0,macdh,-0.9999999999999992,-1.0000000000000004,4.0,78.0,485.0,4H,-0.12599210498948732
66,low,20.0,208.0,30.0,macd,-0.9999999999999969,-1.0000000000000027,1.0,172.0,234.0,4H,-0.12599210498948732
15,close,25.0,372.0,5.0,macdh,-1.0000000000000018,-1.0,5.0,380.0,285.0,4H,-0.1259921049894874
5,high,59.0,130.0,50.0,macd,-1.0000000000000029,-1.0000000000000024,2.0,59.0,298.0,4H,-0.12599210498948757
53,OHLC/4,115.0,242.0,44.0,macd,-0.9999999999999919,-1.0000000000000255,5.0,429.0,168.0,4H,-0.12599210498948807
56,OHLC/4,260.0,495.0,11.0,macds,-1.0000000000000144,-1.0000000000000582,6.0,16.0,63.0,4H,-0.12599210498949037
32,HLCC/4,55.0,104.0,5.0,macdh,-0.45888348411204616,-0.4459652083011448,3.0,177.0,115.0,4H,-0.12696025965923338
41,HLCC/4,146.0,691.0,19.0,macdh,-0.7073304360589874,-0.9194328368822864,3.0,367.0,62.0,4H,-0.1375310575398822
77,HL/2,24.0,97.0,30.0,macdh,-0.53465688489637,-0.531845729194852,2.0,140.0,119.0,4H,-0.14167295309006447
59,HLC/3,289.0,559.0,27.0,macds,-0.9625768575475446,-0.9997265664885432,6.0,202.0,33.0,4H,-0.15672040555340183
80,OHLC/4,117.0,225.0,41.0,macdh,-0.34491585769171185,-0.34974234778973734,5.0,116.0,5.0,4H,-0.18203034647693955
